Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Location_encoded,Year,Month,Day,DayOfWeek,Hour,Season,Season_encoded,Comfort_Index
San Antonio,2021-10-20 03:00:00,-1.3886820461916407,-0.9639130994191543,-0.9447326970904618,1.2592428614511642,7,2021,10,20,2,3,Fall,0,-0.6942080719518924
Houston,2021-10-29 15:00:00,0.394167826816973,1.4722579330184642,-0.9464976393748842,0.7626754946359735,2,2021,10,29,4,15,Fall,0,-0.9930119342812709
Philadelphia,2020-04-11 09:00:00,-0.7207117586214814,-0.5299200314479562,-0.2639699090060001,-0.23631085924001438,5,2020,4,11,5,9,Spring,1,-0.01114882378984977
New York,2022-12-05 02:00:00,-0.7230933736991867,-0.24999758330595814,-0.9567232673258397,1.6297615129389287,4,2022,12,5,0,2,Winter,3,-0.8854941644017592
Chicago,2020-03-20 03:00:00,2.3931328175352165,-1.2846018931574308,-0.07349539648354113,-1.1366815781648196,0,2020,3,20,4,3,Spring,1,2.7169946011518737
San Antonio,2022-06-26 09:00:00,0.16273988365444175,1.3572639069418464,2.349960679766264,1.0602444700052123,7,2022,6,26,6,9,Summer,2,-1.1707297751213694
Dallas,2022-09-22 17:00:00,0.05643630029130065,-0.13204473420213955,-0.8747611197770092,-0.01853123764206917,1,2022,9,22,3,17,Fall,0,0.1267678596789674
Chicago,2021-08-28 21:00:00,-0.8980323996819903,-0.2757605222953187,-0.8040771228017556,0.8775811620358298,0,2021,8,28,5,21,Summer,2,-0.6970323235564674
Philadelphia,2021-07-13 01:00:00,-0.7187010622268686,1.045191713079504,-0.4097951529263473,-0.36303732042918213,5,2021,7,13,1,1,Summer,2,-0.9809373236151891
Houston,2023-09-20 14:00:00,0.1343345720855993,2.067238113040861,-0.9120755726788646,-1.0489980634294,2,2023,9,20,2,14,Fall,0,-0.8648438135687991
Dallas,2022-10-07 13:00:00,-1.282794869283774,-0.6262144323687172,0.7516974743020497,-0.4952817335787565,1,2022,10,7,4,13,Fall,0,-0.19702841420134626
Dallas,2020-04-17 00:00:00,-1.874277813464059,0.8401506086210034,-0.7838182689698527,-1.7049719411040833,1,2020,4,17,4,0,Spring,1,-1.0583300894791439
Chicago,2023-10-13 15:00:00,0.6778838083169857,-1.2038201567763314,-0.5625461942541202,-1.3249213874618953,0,2023,10,13,4,15,Fall,0,1.6843922135043659
San Antonio,2020-12-15 16:00:00,0.5343576387752635,0.4041114628904861,-0.6044154879180889,-1.5050869051922953,7,2020,12,15,1,16,Winter,3,0.6241001635261215
San Antonio,2021-05-08 05:00:00,0.9718531038023497,0.44585548815648607,1.16736055064941,-0.09761557747777076,7,2021,5,8,5,5,Spring,1,0.3430722390791636
Phoenix,2020-12-03 22:00:00,0.04654713757516657,-0.796313769536039,0.41915718680142716,0.20912754743776907,6,2020,12,3,3,22,Winter,3,0.4656177130407487
San Antonio,2020-01-09 14:00:00,-0.6539836833556927,-1.1047342107952238,-0.9725021003611192,0.467897014357174,7,2020,1,9,3,14,Winter,3,0.1400835681541283
Houston,2022-07-22 11:00:00,0.002976947969670335,2.0358237899854243,-0.7189359081108995,-0.3105737812076409,2,2022,7,22,4,11,Summer,2,-1.198786494576156
Houston,2021-11-05 22:00:00,-0.7671436989273864,2.084415318992533,0.6385793956417509,0.4575416680398629,2,2021,11,5,4,22,Fall,0,-1.9865429256641358
